,Occupation,Arm.Hand.Steadiness,Auditory.Attention,Category.Flexibility,Control.Precision,Deductive.Reasoning,Depth.Perception,Dynamic.Flexibility,Dynamic.Strength,Explosive.Strength,Extent.Flexibility,Far.Vision,Finger.Dexterity,Flexibility.of.Closure,Fluency.of.Ideas,Glare.Sensitivity,Gross.Body.Coordination,Gross.Body.Equilibrium,Hearing.Sensitivity,Inductive.Reasoning,Information.Ordering,Manual.Dexterity,Mathematical.Reasoning,Memorization,Multilimb.Coordination,Near.Vision,Night.Vision,Number.Facility,Oral.Comprehension,Oral.Expression,Originality,Perceptual.Speed,Peripheral.Vision,Problem.Sensitivity,Rate.Control,Reaction.Time,Response.Orientation,Selective.Attention,Sound.Localization,Spatial.Orientation,Speech.Clarity,Speech.Recognition,Speed.of.Closure,Speed.of.Limb.Movement,Stamina,Static.Strength,Time.Sharing,Trunk.Strength,Visual.Color.Discrimination,Visualization,Wrist.Finger.Speed,Written.Comprehension,Written.Expression,Administration.and.Management,Biology,Building.and.Construction,Chemistry,Clerical,Communications.and.Media,Computers.and.Electronics,Customer.and.Personal.Service,Design,Economics.and.Accounting,Education.and.Training,Engineering.and.Technology,English.Language,Fine.Arts,Food.Production,Foreign.Language,Geography,History.and.Archeology,Law.and.Government,MathematicsKnowledge,Mechanical,Medicine.and.Dentistry,Personnel.and.Human.Resources,Philosophy.and.Theology,Physics,Production.and.Processing,Psychology,Public.Safety.and.Security,Sales.and.Marketing,Sociology.and.Anthropology,Telecommunications,Therapy.and.Counseling,Transportation,Active.Learning,Active.Listening,Complex.Problem.Solving,Coordination,Critical.Thinking,Equipment.Maintenance,Equipment.Selection,Installation,Instructing,Judgment.and.Decision.Making,Learning.Strategies,Management.of.Financial.Resources,Management.of.Material.Resources,Management.of.Personnel.Resources,MathematicsSkill,Monitoring,Negotiation,Operation.and.Control,Operation.Monitoring,Operations.Analysis,Persuasion,Programming,Quality.Control.Analysis,Reading.Comprehension,Repairing,Science,Service.Orientation,Social.Perceptiveness,Speaking,Systems.Analysis,Systems.Evaluation,Technology.Design,Time.Management,Troubleshooting,Writing,Job.Zone,Career.Cluster,Career.Cluster.Abbrev
1,Accountants,0.75,1.12,3.75,0.38,4.12,0.75,0,0.38,0,0,2.38,1.62,3,3,0,0,0,1.62,3.88,3.75,0.38,4,2.5,0,4,0,4.25,4.12,4,3,2.88,0,3.75,0,0,0,3,0,0,3,3,2.62,0,0,0,2.25,0.62,1.75,2.38,0.62,4.25,3.88,3.4,0,0.27,0.05,5.16,2.54,3.71,4.09,0.15,5.25,2.43,0.25,3.61,0,0,0.3,0.41,0.04,3.38,4.64,0.2,0.06,2.15,0.15,0.05,0.75,1.04,0.71,0.6,0.18,0.61,0.17,0.72,3.25,4,3.12,3,3.75,0,0,0,2.88,3.5,3,2.38,1.5,2.62,4,3.38,2.88,0,1.12,2.75,3,0.5,0.5,3.88,0,1.62,3,3,3.75,3.62,3,0.75,3,0.38,3.25,4,Finance,Fin
2,Actors,1.75,1.88,3,0,3,0,0,1.88,0.88,1.88,2.62,1.88,2.38,3.38,1.5,2.5,2,1.75,3,3,1.75,0,4,2,3.5,0,0.12,4.12,4,3.38,1.88,0,3.12,0,0,0,3.12,0,0,4.75,2.88,2.25,0,1.75,1.88,2.88,2.38,1.88,2.5,0.25,3.5,3.38,2.23,0.08,1.14,0.03,2.09,4.63,2.08,2.98,2.06,1.15,3.07,0.58,4.67,5.85,0,2.14,1.67,2.97,1.06,1.38,0.7,0.46,1.83,3.04,0.39,0.82,3.88,1.6,3.15,4.32,1.18,2.28,1.19,2.62,3.62,2.62,3,3,0,0,0,2.62,3,2.5,0,0,2.38,0,3,2.62,0,0.25,1.38,2.75,0,0,3.88,0,0.5,2.25,3.75,4,1.62,1.62,0.38,3,0,3.38,2,"Arts, Audio/Video Technology & Communications",ArtAVComm
3,Actuaries,0.12,1.62,4,0,4.75,0.75,0,0,0,0,2.88,1.25,3.38,4,0,0,0,1.5,4.62,4.25,0,5,2.62,0,4,0,5,4.5,4.75,3.5,3,0,4.38,0,0,0,3.62,0,0,3.75,3.88,2.88,0,0,0,2.38,0.62,1.75,2.88,0.25,4.62,4,4.72,0.47,0.38,0.16,2.84,2.23,4.55,3.09,1.56,5.25,3.59,1.12,4.41,0,0,1.16,1.62,0.41,3.75,6.66,0.25,1.41,3.68,0.28,0.38,1.41,2.47,1.25,3.38,1.94,0.53,0.78,0.88,4.12,4.12,4.62,3,4.75,0,0,0,3.5,4.75,3.5,3.38,2.25,2.88,4.88,3.62,3.12,0,1.25,3.38,3.62,2.75,1.75,4.62,0,2,3.12,2.88,4,4.5,4.5,1,3.5,0,4,4,Finance,Fin
4,Acupuncturists,3.25,1.62,3.5,2,4,1.25,0,1.38,0,1.75,2.25,3.75,3.5,2.88,0,1,1,2,4.25,3.38,2.62,1.75,1.38,2.12,3.62,0,2.38,4.38,4.12,2.88,2.62,0,4,0,0.25,0.12,2.88,0,0.38,3.25,3.38,2.25,0.5,1.38,1.5,2.25,2.25,2.25,2.88,0.62,4.12,3.75,2.57,4.05,0.85,2.65,2.97,2.7,2.91,5.1,0.94,2.21,3.78,1.05,3.89,0.38,1.29,1.68,0.76,1.24,2.26,1.85,1.25,5.1,2.18,4.01,1.19,1.29,5.43,2.24,3.41,3.53,0.67,4.64,0.84,3.5,3.62,3.25,2.88,3.88,0,0.5,0,2.75,3.5,2.88,1.5,1.75,2.12,2,3.62,2.25,0.5,1.25,1.25,2.88,0.62,2.12,3.88,0,2.12,3.38,3.75,3.62,2.62,3.12,1,2.62,0.75,3.5,5,Health Science,HealthSci
5,Acute Care Nurses,1,2.25,3.38,0.88,4,1.75,0,0.75,1.88,0.62,2.88,2.5,3,3,0,2,1.88,2.25,4,4,1,2.88,2.88,0.88,4,0,2.88,4.12,4,3,3,0,4.75,0.38,2,2,3.12,0,0,3.62,3.75,3,0.25,1.75,2.88,3,0.88,3,2.88,0.38,4,4,2.96,3.5,0.39,2.89,3.11,2.21,3,5.61,0.64,1.11,4.71,1.21,4.46,0.21,0.32,1.96,0.96,0.82,2.64,3.71,1.36,4.82,2.46,3.39,1.75,1.21,5.75,3.04,1.61,3.61,1.29,4.64,0.89,3.88,3.88,3.75,3.88,4,0,1,0,4,4,3.62,1.62,1.88,3,2.88,4.12,3.12,2.75,3,2.62,3.12,0.75,2.5,4.5,0,3.12,3.88,4.62,4,3.12,3.25,1.12,3.25,1.62,3.62,3,Health Science,HealthSci
6,Adapted Physical Education Specialists,2.75,2.5,3.25,2.5,3.5,1.75,0.5,2.38,2.12,3,2.88,2.88,2.75,3.12,0,2.88,2.5,2.38,3.38,3.5,2.88,2.25,2.62,3,3.62,0,2,4.12,4.12,3.38,2.5,0,3.62,0.12,1.5,2,3,0,0.75,3.88,3.88,2.88,1.75,3.12,3,2.88,3.12,2.38,2.62,0.38,3.88,3.88,2.56,2.81,1.16,1.1,3.68,2.74,3.31,3.77,1.61,1,5.97,1.65,4.17,1.72,0.37,1.9,1.03,1.48,3.35,3.1,1.27,2.73,1.83,2.9,1.57,0.97,5.19,2.58,1,3.97,1.48,4.13,1.81,3.62,4.12,3.12,3.5,3.62,0,0.25,0.25,3.5,3.5,3.88,0.75,1.5,3,2.12,3.75,3,0.75,2.12,1.5,3.5,0.5,1.75,4,0.25,0.62,3.5,4.25,3.88,3,3.25,1.25,3.25,1.25,3.75,4,Education & Training,EduTrain
7,Adhesive Bonding Machine Operators and Tenders,3,3.12,3,3.38,2.75,2.88,0.75,2.75,1.12,3.38,2.88,3.12,2.75,1.75,1.25,2.75,2,2.75,2.75,3,3,2,1.75,3.62,3.25,1.12,2.12,3.12,3,1.75,3.12,1.5,3,3.12,3.38,2.88,3.25,1.12,1.25,2.62,2.75,2,1.75,2.62,3.5,2.25,3.12,2.62,3.12,2.38,3,2.25,2.42,0.41,1.07,3.17,1.46,0.72,3.07,2.49,1.27,1.28,3.51,2.32,3.36,0.38,0.39,0.21,0.77,0.04,0.65,2.8,4.05,0.79,2.15,0.75,1.48,4.13,2.15,2.5,1.83,1.02,0.99,0.82,1.55,2.38,2.75,2.5,3,2.75,3.12,2.12,0.12,2.38,2.5,2.12,0.75,1.25,1.75,2.38,3.12,1.62,3.75,4,0.75,1.88,0.62,3.5,2.5,2.88,0.5,2,2.38,2.62,2.62,1.88,0.25,2.88,3,2.25,2,Manufacturing,Manu
8,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.5,2,3.38,0.62,4.88,0.25,0,0,0.25,0,2.88,2,2.88,3.25,0,0.12,0.25,1.5,4.75,3.62,0.5,2.38,2.88,0,4.75,0,2.62,5.12,5.25,3.12,2.62,0,4.12,0,0.5,0.5,3.12,0,0,4.62,4,2.38,0,0.12,0.25,2.75,0.5,1.12,1.5,0.25,5.12,5,3.69,1.26,0.8,0.79,3.58,2.1,3.66,3.92,0.88,1.48,3.04,0.75,5.08,0.26,0.26,0.92,1.36,0.95,5.48,3.39,0.54,1.9,2.78,2.09,0.84,0.86,3.53,2.41,0.82,1.84,1.47,2.48,1.3,4.25,5.75,4.12,3.12,5.12,0,0,0,3,4.62,3,1.25,0.62,2.62,2.5,4.12,3.62,0,0.75,2.12,3.62,1,0.62,5.12,0,0.88,2.88,3.88,5.12,2.88,3.25,0.5,3.12,0,5,5,"Law, Public Safety, Corrections & Security",LawPubSaf
9,Administrative Services Managers,2,2.25,3.12,1.75,3.88,1.62,0,0.75,0.75,0.75,2.75,2.12,2.38,3.12,0.62,0.62,0.62,2.12,3.38,3.12,1.62,2.5,2.62,1,3.62,0.62,2.75,4,4,3.12,2.38,0.62,3.75,0.88,0.88,0.62,3,0.75,0.5,3.5,3.62,2.62,0,0.5,1,2.88,1.25,2,2.75,0.38,4,4,4.56,0.74,2.17,1.33,5.18,2.2,4.15,5.17,2.01,3.14,3.05,1.62,3.86,0.21,0.61,0.75,1.1,0.77,2.66,3.54,2.25,1.08,4.12,1.31,1.14,3.02,1.99,3.29,2,1.45,2.19,1.39,1.41,3.38,4,3.12,3.62,3.88,0,0.25,0,3.25,3.12,3.25,2.88,2.88,3.75,2.12,3.62,3.25,1,2.25,2.5,3.12,0.62,2.12,4,0,0,3.25,3.75,3.88,3.12,3.12,0.75,4,1.25,3.75,3,Business Management & Administration,BusinManAdmin
10,Adult Basic and Secondary Education and Literacy Teachers and Instructors,0,1.5,3,0,3.62,0,0,0,0,0,2.75,1.38,2.88,3.12,0,0,0,2,3.62,3.5,0,2.75,2.88,0,3.12,0,2.75,4.12,4.25,3.12,2.62,0,3.5,0,0,0,2.88,0,0,3.88,3.25,2.62,0,0,0,2.62,1.75,2,2,0,4,4,3.02,1.08,0,0.7,3.52,2.19,2.77,4.6,0.37,0.53,4.51,0.09,5.67,0.89,0,1.86,3.7,3.04,1.82,3,0,0.32,1.31,2.69,0.3,0.07,3.07,1.32,0.74,3.28,0.66,2.38,0.56,3.25,3.75,3,3.38,3.5,0,0,0,4,3,3.88,0.12,0.12,2.88,2.5,3.88,3.12,0,1.12,0.62,3,0.62,0.12,3.88,0,0.62,3.12,3.75,4,2.88,2.88,1.12,3.25,0,3.88,4,Education & Training,EduTrain
